id,title,year,source,name,platform,genre,mode,group,type,quote
11,DreamForges Sanitarium,1998,https://www.gamasutra.com/view/feature/131706/postmortem_dreamforges_sanitarium.php,Sanitarium,mobile pc,adventure,single,management-feature,cutting-features,"The action sequences needed more attention. They were important for guiding the pace of the story, but didnt have the feel that we were after in the end product. The original idea behind these areas was based on one of DreamForges earlier titles, Veil Of Darkness. It had wonderful combat areas that helped break up the pacing between the puzzles. However, in Sanitarium, multiple factors forced us to water down the combat zones or in some cases cut them altogether. We had originally planned a large combat zone for the Hive level of the game. Wed hoped to make Grimwall vs. the Hive one of the most fun and integral combat areas, but it was cut from the game for various reasons."
12,Postmortem: LucasLearnings Star Wars DroidWorks,1998,http://www.gamasutra.com/view/feature/131775/postmortem_lucaslearnings_star_.php,Star Wars DroidWorks,pc,action puzzle simulation,single,management-people,crunch-time,"DroidWorks also had its share of timing problems. We originally planned a fairly luxurious development cycle that had us landing on shelves in time for Christmas 1998. About half way through production, after looking at the numbers, Marketing decided we should aim for Labor Day instead, the official kick-off of the back-to-school buying season. Everyone agreed, so we took a deep breath, re-worked major pieces of the design, and made some heavy cuts. The team rallied behind the new date, and we managed to hit our sign-off date"
13,Postmortem: LucasLearnings Star Wars DroidWorks,1998,http://www.gamasutra.com/view/feature/131775/postmortem_lucaslearnings_star_.php,Star Wars DroidWorks,pc,action puzzle simulation,single,management-feature,scope,"In choosing the Jedi engine, we hoped to benefit from its physics simulator as much as from its rendering engine. We wanted our game to teach simple physics in an open-ended environment, and we hoped concepts of velocity, acceleration, and gravity, would just fall out of the simulator. How wrong could we have been! The level designers closely control the world of Jedi Knight, and the physics engine had been tuned to make maximum fun out of running characters and flying projectiles. We had hoped to teach interactive real-world physics, not cartoon game physics in which the main character could run 80 miles an hour, nothing bounced, and nothing could be pushed! We expected a fairly robust dynamics simulation but wound up with sphere-based collision detection in a system that often couldnt properly respond to the collision of two moving objects. The lack of rotational forces sure made it difficult to build levers and fulcrums."
14,Postmortem: LucasLearnings Star Wars DroidWorks,1998,http://www.gamasutra.com/view/feature/131775/postmortem_lucaslearnings_star_.php,Star Wars DroidWorks,pc,action puzzle simulation,single,management-feature,feature-creep,"The number of combinations possible in DroidWorks gives it its power. How many droids can you build from 87 droid parts anyway? At one point during development, we could build over 65 million fully functioning droids, but design decisions forced us to cut it back to only 25 million by the time we shipped. How do you deal with that kind of complexity? (...) Our level designers also saw the nightmare of complexity. They could never be entirely sure what kind of droid would be walking into their rooms, and they had to leave the levels as open as possible. In many cases, they created ingenious physical filtering mechanisms that would guarantee certain types of droids beyond certain points in the level: a steep hill would weed out biped droids in favor of droids with tractor treads, a chasm would weed out wheeled droids who cant jump, a narrow canyon would weed out wide droids, and a short door would weed out tall droids. They used the terrain leading up to key puzzles to reduce the complexity of the puzzle itself, giving kids a chance to uncover the mission requirements themselves within the context of the game"
15,Postmortem: LucasLearnings Star Wars DroidWorks,1998,http://www.gamasutra.com/view/feature/131775/postmortem_lucaslearnings_star_.php,Star Wars DroidWorks,pc,action puzzle simulation,single,management-feature,planning,"Although we had several aces in our hands, including guaranteed private funding and one of the most popular film licenses in the world, Lucas Learning was still a startup. We had to hire staff, find space, clarify our vision, define our culture, and adopt processes for doing everything. On DroidWorks, almost everything we did we did for the first time, and even though we had a lot of industry veterans on board, we often ran on hunches, not having time to pause the project to figure out the right way to do something."
16,Postmortem: LucasLearnings Star Wars DroidWorks,1998,http://www.gamasutra.com/view/feature/131775/postmortem_lucaslearnings_star_.php,Star Wars DroidWorks,pc,action puzzle simulation,single,business,marketing,"Landing in the entertainment category proved problematic for DroidWorks. On those crowded shelves, DroidWorks disappears amongst action-oriented shoot-em-up games. Its bright blue box stands out from the dark tones of the adult games and catches the eye, and it feels strangely out of place. Furthermore, retailers have shorter attention spans for products on the entertainment shelves than they do for educational products: if a game doesnt disappear in the first two weeks, the stores send it back. Despite its great reviews and the press coverage we garnered in the month or two prior to its release, DroidWorks had a difficult first month of selling, and we started thinking our particular education/entertainment blend might be just too confusing for consumers. Luckily, stores gave it a break — thanks to the Star Wars name and the muscle of LucasArts distribution — and by the end of the month, sales had improved and things were looking up (...) As the game took final shape, the company marketing effort began to kick into full gear. Until that time, Lucas Learning had no public presence. Our mission and message had never been projected to the outside world, so we werent just marketing a product, we were marketing an entire company. We had lived in the cocoon of secrecy that typically surrounds George Lucas endeavors, and the time had come to start opening that cocoon to let the world know what we were up to. That process turned out to be harder — and more timeconsuming — than expected."
17,Shiny Entertainments Wild 9,1998,https://www.gamasutra.com/view/feature/131824/postmortem_shiny_entertainments_.php,Wild 9,console,platformer,single,production,technical," The physics engine turned out to be one of Gavin’s biggest nightmares during the Wild 9’s development. He inherited this code from the previous programmers, and he spent more time trying to unravel, optimize, and just get that part of the code functioning than on any other identifiable part of the game. His advice to engine inheritors: unless the physics are perfect and written exactly as you want them, grow your own."
18,Shiny Entertainments Wild 9,1998,https://www.gamasutra.com/view/feature/131824/postmortem_shiny_entertainments_.php,Wild 9,console,platformer,single,management-people,team," I once heard David Perry say that the first Wild 9 team was a great collection of talented individuals, while the second was a talented team. This statement alone sums up the main problem encountered by the first team. As we found out later in the project, communication and good atmosphere were two factors that made this project move forward; it’s now obvious that the best thing to do was to start over rather than try to salvage a situation that was going nowhere."
19,Shiny Entertainments Wild 9,1998,https://www.gamasutra.com/view/feature/131824/postmortem_shiny_entertainments_.php,Wild 9,console,platformer,single,management-feature,feature-creep," I’ve already sung the praises of our scripting language, but not everything was totally perfect in this picture. Although it ended up being very useful, it became clear early on that the language and its op-codes had massive loopholes and gotchas waiting to jump on us. To help other programmers with their first steps, Gregg started maintaining a document as he was learning the AI system. This document described all the major problems that he’d encountered and ways around them that he’d discovered. "
20,Shiny Entertainments Wild 9,1998,https://www.gamasutra.com/view/feature/131824/postmortem_shiny_entertainments_.php,Wild 9,console,platformer,single,management-feature,cutting-features," Tom and Kevin are two very creative fellows. The material they came up with is enough to fill up three or four games like this one. In addition, the whole team took this game to heart and ended up coming up with suggestions of their own. We were thus faced with a situation toward the end of the project: we could not fit everything into the game. Wex’s weapon, The Rig, is normally blue. But it possesses a red mode, which is greatly under-used in the game. The red mode was initially meant to be a more powerful blue beam, but this created game play issues, as a player will sometimes want to transport enemies in the beam from one point of the level to another. The red beam would vaporize just about everything on contact, which was obviously a problem. This is one of the only design issues that was never truly fixed and the red beam, even though it made it into the game, isn’t used to its full potential."
21,Shiny Entertainments Wild 9,1998,https://www.gamasutra.com/view/feature/131824/postmortem_shiny_entertainments_.php,Wild 9,console,platformer,single,management-feature,multiple-projects," Our tools programmer and resident Irish person Malachy once decided to bring us a little multiplayer game he was working on in his spare time. The game was called Deal Me In, and he wanted us to help him beta test it. Deal Me In is best described as a very addictive cross between Scrabble and Poker. Actually, addictive doesn’t even begin to describe the darn thing. Everyone at Shiny plays games. So when it comes to testing a very addictive game, we are very thorough. The game became an obsession, to the point where it was affecting our productivity. It turns out, after extensive research, that there is no such thing as a quick game of Deal Me In."
22,Outrages Descent 3,1999,https://www.gamasutra.com/view/feature/131788/postmortem_outrages_descent_3.php?page=2,Descent 3,pc,shooter,online single,production,design,"With sequels come high expectations that can almost never be achieved completely. (Just look at Star Wars: The Phantom Menace to see what I’m talking about.) While we aimed high for the entire game, many times trying to meet the varying expectations of our team (more in-level scripting and rendered cinematics), publisher (using more AI and levels), and fans (more of everything) resulted in halfimplemented features, such as our in-game cinematics or items that went in untested at the last minute (such as some Guide-Bot functionality). With a game so big and widely anticipated, I’m not sure if we would have ever been able to manage everyone’s expectations. And, one of our biggest problems was that those expectations were controlling the design of the game. As developers, we should have been more confident in our abilities to produce this type of game and should have approached new ideas with a bit of skepticism. While I don’t dismiss the valuable role that the fans and our publisher played in the development of Descent 3, we were too apt to deviate from our design document when others wanted us to add features to the game."
23,Outrages Descent 3,1999,https://www.gamasutra.com/view/feature/131788/postmortem_outrages_descent_3.php?page=2,Descent 3,pc,shooter,online single,management-people,communication,"Another major problem on Descent 3 was the tools the level designers used to make their levels. Some people used 3D Studio Max, some used Lightwave, and one designer even wrote his own custom modeler from scratch. Due to our somewhat anarchistic development environment, this was seen as O.K., and not too many people complained. However, the different tools led to inconsistent quality across our game levels."
24,Outrages Descent 3,1999,https://www.gamasutra.com/view/feature/131788/postmortem_outrages_descent_3.php?page=2,Descent 3,pc,shooter,online single,management-people,team,"Many systems, such as the graphics, AI, and scripting, were written exclusively by one person. This fostered a feeling of pride in a particular system, but it also caught us with our guard down when we found that one system was falling behind schedule. Our AI, for example, was very much behind schedule for the duration of the project because the programmer just had too much to do. This caused a ripple effect that was felt throughout the design of the game. After all, you can’t tell how a level is going to play if the robots that you’re fighting aren’t behaving at all as they should. (...) When we started work on Descent 3, Outrage had just eight employees on staff. Since some of the Descent II team left Ann Arbor to work at Volition during the project, we literally had to build the team and company at the same time we started production on the game. This resulted in a mixed bag of results ranging from pushing back larger projects or features until later in the project to adding multiple tasks to someone’s already full schedule."
25,Outrages Descent 3,1999,https://www.gamasutra.com/view/feature/131788/postmortem_outrages_descent_3.php?page=2,Descent 3,pc,shooter,online single,management-feature,planning,"The biggest problem on Descent 3 was the weak management structure.Descent and Descent II were developed by small groups that worked closely together (often in the same room), and as we grew to a team of almost twenty people, we didn’t introduce enough management to control the process. Even though people had designated titles, there was no real authority attached to those titles. No code reviews, no art reviews, no way of saying, This is bad and we should be going in a different direction. What we needed was more of a hierarchy and a systematic way to get things done. People would have disagreements that were never settled, and that led to bad feelings among team members. It would have been much better if some sort of hierarchy had been in place to mediate disputes, but unfortunately this didn’t materialize during the entire development cycle of the game."
26,Surreal Software Drakan Order of the Flame,1999,https://www.gamasutra.com/view/feature/131586/postmortem_surreal_softwares_.php,Drakan: Order of the Flame,pc,action adventure,multi single,production,design," Although the overall story concept of Drakan was a great, the script and execution of the idea were lacking. We hired a movie scriptwriter to do the initial work on the script, but he was not familiar with the fantasy genre and did not have a firm grasp on Alan’s vision for the design. From there, the script was edited and rewritten by several more people: members of Surreal, members of Psygnosis, even one of the voice actors. Under pressure to finish the script, it was completed with cheesy one-liners and other badly written dialog. Once it had been recorded by the voice actors, it was very difficult to re-record lines that were badly written or acted. Some were re-recorded, but that was a luxury we could only afford for the completely failed lines. The voice acting was difficult to get right, because just as some of the writers had almost no vision of the game, the voice actors likewise had little understanding of the characters they portrayed."
27,Surreal Software Drakan Order of the Flame,1999,https://www.gamasutra.com/view/feature/131586/postmortem_surreal_softwares_.php,Drakan: Order of the Flame,pc,action adventure,multi single,production,technical," Considered by some the Achilles’ heel of Drakan, its multiplayer suffered from developmental neglect. For the game’s multiplayer to have succeeded, the design, art, and programming teams would have had to spend at least twice as much time on it than they did. The two multiplayer designers did most of their level and weapon work during the alpha and beta periods. The same designers also created most of the artwork for the multiplayer effects and weapons. Any game-related bugs that came up were fixed by our single network programmer, who already had his hands full optimizing the underlying network engine. Most of these game-related problems arose because the same weapons were used in both single and multiplayer games, but the original programmers were not careful to make them “network aware.” (...)  One of the biggest chores for the testing team was to make sure that all of our hundreds of 3D models could not be penetrated by missiles, NPCs, or Rynn. Each model had to be properly bounded by the artist during the model’s construction, a process which took about 20 percent of their modeling time to construct. Bounding was generated in our custom modeling tool and approximated the polygons of the model using a hierarchy (tree) of bounding spheres or oriented bounding boxes (OBBs). This made the collision detection system very fast and accurate, but it also meant that if an artist made a mistake in the bounding tree, collision detection might not work. To say this created a testing challenge would be an understatement."
28,Surreal Software Drakan Order of the Flame,1999,https://www.gamasutra.com/view/feature/131586/postmortem_surreal_softwares_.php,Drakan: Order of the Flame,pc,action adventure,multi single,production,testing," Although we tracked bugs internally before and during the alpha and beta releases, Psygnosis was responsible for the bulk of the testing after alpha. For a game as vast and ambitious as Drakan, the time that we allocated for testing was inadequate. Multiplayer and collision detection issues, in particular, were not given enough testing time. When the final shipping date approached, we reluctantly agreed to allow some noncritical bugs to slip through to the gold master in the interest of meeting the deadline. A patch was inevitable."
29,Surreal Software Drakan Order of the Flame,1999,https://www.gamasutra.com/view/feature/131586/postmortem_surreal_softwares_.php,Drakan: Order of the Flame,pc,action adventure,multi single,management-feature,planning," Drakan was originally slated for release in February 1999, but ended up being released six months later. Even with careful scheduling and task planning, we failed to meet the final deadlines. Part of the problem was that we didn’t account for the time the team would spend creating versions of the game for E3 and for magazine and Internet demos. Each demo pulled nearly two weeks of time away from our normally scheduled tasks. The majority of the scheduling problems were due to feature creep and other improvements that were considered necessary during development. In March 1998, the design team was faced with a mountain of work ahead in order to complete the 14 original levels as designed. After careful consideration, the designers decided to spend their efforts on enlarging and improving upon the ten best level designs. They also ended up cutting many features that did not show much game-play promise. The dart gun and the boomerang weapons were among those eliminated from the game. Even though these tasks had already been mostly completed (in terms of code) for several months, they had not yet been put into the game."
30,Multitude Fireteam,1999,https://www.gamasutra.com/view/feature/131823/postmortem_multitudes_fireteam.php,Fireteam,pc,action strategy,online,production,design," Fireteam would have been more willingly accepted by the market if it contained some artificial intelligence (AI). With such an implementation, players could practice using the interface by themselves and, more importantly, players could practice as a team against AIs. With computercontrolled opponents in place, players could play offline or possibly on a LAN against computers opponents. Many users are intimidated by having to learn a new game while playing against other more experienced human players. AIso would have helped ease players into the online-only part of the game, providing a feature that many players expect to find in games today."
31,Multitude Fireteam,1999,https://www.gamasutra.com/view/feature/131823/postmortem_multitudes_fireteam.php,Fireteam,pc,action strategy,online,production,technical," Fireteam is a very complicated project with many processes running on both the client and the server. Add in the complication of the Internet, and you can get one confusing mess . We tried to break our server components down into smaller, more manageable pieces, each with its own function. We hired some experts in various disciplines to help us better understand parts of the server technology that were new to us. Our mistake was in thinking that these experts could just come in and solve our problems. As we busied ourselves with other parts of the project, it was easy for us to say to ourselves, They know what they’re doing. In the end, however, the development team needs to understand the whole picture and how the pieces really fit together. One of Fireteam’s unique properties is that its server-side components run remotely at an ISP’s facilities. In order to debug something as complicated as our server architecture remotely, our key programmers - not just the client/server experts -needed to understand the whole system. (...)  The Internet poses significant problems for developers. Although we did our best in designing the game around the limitations of the Internet, we did have some technical problems. We originally designed Fireteam around TCP/IP because it’s a reliable transport protocol for network traffic. However, the reliability comes at a very high cost: retransmission times. If a packet is lost on the Internet (which happens a lot), it takes some time for the machines on both ends to realize this and resend the data. TCP/IP guarantees that all packets are in order; therefore, all of the packets after the lost packet will be delayed until the lost packet is sent again. In a fast-paced game such as Fireteam, lost packets can really cause problems. As soon as we started doing real Internet tests, we realized that we needed to start sending some packets unreliably via UDP. These packets could get lost, be out of order, or even duplicated, but they wouldn’t be delayed by other packets. We learned that different packets require different sets of reliability and timeliness, and that developers should use all the tools available to them, both TCP/IP and UDP. We initially labored under the idea that only one protocol should be used for the sake of simplicity, but it’s best to use the appropriate tool for each job."
32,Multitude Fireteam,1999,https://www.gamasutra.com/view/feature/131823/postmortem_multitudes_fireteam.php,Fireteam,pc,action strategy,online,production,testing," As I mentioned previously, when you create an online game, you need to embrace the community. At the same time, a direct connection with a community of testers who aren’t 100 percent aware of your objectives is something that needs to be managed very carefully. The testers will always want something different. When is the last time you played a game and said, This is perfect? I’ve often said that even my favorite game would be better if it had feature X. Most beta testers are young people who have a lot of time on their hands; that’s great for finding bugs, but it can also be a problem because some of them lack perspective. All players have an equal voice in the Fireteam lobby, so we had to watch over the lobby constantly because a few testers could ruin the fun for others, even to the point of instigating a mini online riot."
33,Multitude Fireteam,1999,https://www.gamasutra.com/view/feature/131823/postmortem_multitudes_fireteam.php,Fireteam,pc,action strategy,online,management-people,communication," As we were developing Fireteam, our attention was also focused on growing our new company. We found that it was easy to forget what the contractors were doing and how they fit into the project. We made the naïve assumption that they would be willing to work with an evolving specification. However, when a project is fix-bid, an external developer will only do so much tuning and reworking of code before he or she starts charging you for it. If you don’t manage this relationship closely, these costs add up very quickly. For example, the cost for developing the community web pages doubled from the original quote because the design evolved. The final version of the community web pages was great, but a more thoughtful initial design specification and better management of the process would have saved Multitude significant money and time."
34,Activisions Heavy Gear 2,1999,https://www.gamasutra.com/view/feature/131814/postmortem_activisions_heavy_.php,Heavy Gear 2,pc,shooter simulation,multi single,production,design,"During the production of Heavy Gear II, many of our game designers and external testers began to notice a distinct absence of thrilling game play, which were attributed to several factors: the AI wastoo vicious, the AI-controlled squadmates were disobedient and difficult to deal with, and there was no noticeable ramp-up in difficulty and emotion — some missions were frightfully easy and others absolutely impossible to complete. (The average life expectancy of the player in some of our combat scenarios was about four seconds.)"
35,Activisions Heavy Gear 2,1999,https://www.gamasutra.com/view/feature/131814/postmortem_activisions_heavy_.php,Heavy Gear 2,pc,shooter simulation,multi single,production,documentation,"When turnover occurred on the Heavy Gear II team, we and our schedule encountered a nasty surprise. Many of the systems we inherited were only partially implemented and virtually undocumented. To make things worse, much of the code was written to implement advanced animation and mathematical methods used all over the game engine, and we didn’t have a technical design document that we could refer to in order to determine the intended solution for these systems. Working around the bugs and limitations in these systems cost the team even more time and generated bushels of frustration."
36,Activisions Heavy Gear 2,1999,https://www.gamasutra.com/view/feature/131814/postmortem_activisions_heavy_.php,Heavy Gear 2,pc,shooter simulation,multi single,management-people,crunch-time,"After experiencing the high quality of our second prototype, people at Activision began to get very excited about the future of Heavy Gear II. We were given a highly favorable reception at E3 in 1998, where we finally revealed the game. We subsequently released a playable demo that met with similar acceptance. Our marketing staff, which had been pushing this title from the start, finally had the leverage it needed to differentiate Heavy Gear II from its competitors. Magazine articles began to run, OEM deals were made, and shelf displays were created as everyone anticipated the forthcoming release. Only the development team knew how alarmingly behind schedule the game actually was, however. This was due in part because of some unfortunate turnover in our staff, but the main factor was the amount of time and effort we had allocated to creating the demo. We had hit roadblocks in the past and always rebounded in sterling fashion, so nobody on our team allowed themselves to believe that the demo would cause us to miss our target ship date."
37,Activisions Heavy Gear 2,1999,https://www.gamasutra.com/view/feature/131814/postmortem_activisions_heavy_.php,Heavy Gear 2,pc,shooter simulation,multi single,management-feature,scope,"When the smoke cleared and the demo was finally posted, the team gave a sigh of relief and basked in the warmth of a job well done. Unfortunately, this feeling quickly evaporated when we realized that we had taken almost a three-month departure from our original development schedule and totally exhausted ourselves in the process. I still believe a demo is important to the success of a game, but such a task should be closely correlated to the production of the main SKU. Attempting to factor the demo development time and resources into a schedule significantly different from the game itself can profoundly affect both the product’s quality and timeliness."
38,Activisions Heavy Gear 2,1999,https://www.gamasutra.com/view/feature/131814/postmortem_activisions_heavy_.php,Heavy Gear 2,pc,shooter simulation,multi single,management-feature,planning,"Heavy Gear II was built completely from the battleground up, so every aspect of the game required significant development time. Unfortunately, the development schedule was too optimistic about how long it would take to create the title. Here’s an idea of the scope of the game, as specified by our design document. Heavy Gear II required a brand new game engine and an accompanying suite of design, development, and debugging tools. The game had more than 40 single-player missions, as well as numerous historical and instant-action missions. Additionally, multiplayer functionality (including cooperative play with multiplayer AI) was required for deathmatch, king of the hill, steal the beacon, and historical settings. We were also required to construct three different modes for each and all of these missions: terrestrial, space, and Gomorrah (combat in an enclosed, multi-level, near-future megacity) gaming modes."
39,Raven Softwares Heretic II,1999,https://www.gamasutra.com/view/feature/131748/postmortem_raven_softwares_.php,Heretic II,pc,action adventure,online single,production,documentation,"Since almost every programmer at Raven had been into the code base at one point or another, there was a fair amount of redundancy in routines, and so on. It’s a credit to lead programmer Pat Lipo that things went as smoothly as they did. However, inevitably, coding conflicts arise, as do competing subsystems. I think it would be safe to say that we found the point at which too many clever people working together becomes more of a liability than an asset. It is worth pointing out that the reason we had so much programming power on this project had little to do with the quality of the core team, and everything to do with the sheer quantity of work, and looming deadlines."
40,Raven Softwares Heretic II,1999,https://www.gamasutra.com/view/feature/131748/postmortem_raven_softwares_.php,Heretic II,pc,action adventure,online single,production,tools,"One acknowledged misstep we made was not commissioning a Linux Server version of Heretic II to be released at the same time as retail. Half-Life demonstrated the wisdom of having Linux code available at launch time; witness the number of servers around on launch day. Heretic II never caught up on this, not even to this day. We have a Linux version in the works now, but its been delayed by the Expansion Pack and the Expansion Pack bug fixes, but it may be a case of too little, too late. (...) Don’t rebuild your physics system unless you really have to. We did this, and it turned out to be a much larger albatross than we had imagined. It didn’t help that our resident physics expert left for greener pastures after implementing it, either. The original idea was to integrate the new physics systems with the AI more tightly, fix one or two legacy bugs with physics from the Quake engine, and add some cool features like proper friction and inertia. As it turned out, we introduced more bugs than we fixed, and the AI integration was never used."
41,Raven Softwares Heretic II,1999,https://www.gamasutra.com/view/feature/131748/postmortem_raven_softwares_.php,Heretic II,pc,action adventure,online single,production,bugs,"Once the game was released, the decision was made to go ahead with a glorified patch, referred to as the Enhancement Pack. The idea behind this was that H2 was pretty much free of major bugs, and as such didn’t really require a patch to fix anything. However, there were some bugs in the code. The first was a joystick mistake we made. This was fixed almost immediately, and released on the net. After that, most of the team was disbanded into other projects, leaving Pat Lipo, Marcus Whitlock and myself to complete the Enhancement Pack. We started out fixing the small bugs we knew were out there, and then moved into expanding the feature set of H2 to what we would have liked it to have been when we shipped."
